,Mon:1,Mon:2,Mon:R1,Mon:R2,Mon:3,Mon:4,Mon:5,Mon:6,Tue:1,Tue:2,Tue:R1,Tue:R2,Tue:3,Tue:4,Tue:5,Tue:6,Wed:1,Wed:2,Wed:R1,Wed:R2,Wed:3,Wed:4,Wed:5,Wed:6,Thu:1,Thu:2,Thu:R1,Thu:R2,Thu:3,Thu:4,Thu:5,Thu:6,Fri:1,Fri:2,Fri:R1,Fri:R2,Fri:3,Fri:4,Fri:5,Fri:6
1,PL03,CU05,,,PL07,PL01,AU07,,PL04,PL03,,,PL06,CL06,ML05,,ML01,CL04,,,AU05,ML03,AL03,,CL03,AU03,,,PL03,MU03,BU02,,PL06,PU04,,,BU08,CL08,AU07,
2,PL07,MU06,,,PL06,BL07,BL04,,AU07,ML05,,,BU05,AU08,PL07,,CL08,PU05,,,CU04,AU08,PU01,,BL08,CL06,,,CU07,BU04,CU05,,BU05,PL02,,,BU06,BU05,ML03,
3,BL06,CU06,,,MU05,BU04,PU06,,BL01,CL05,,,MU02,ML08,BU07,,AL03,ML07,,,BU03,CL07,PL05,,BL04,CU04,,,AU08,MU08,BL03,,ML01,CL04,,,CU08,PU08,PU06,
4,BL04,CU04,,,BL06,CU02,PU08,,ML03,AU05,,,MU06,BU02,AU03,,AU04,AU02,,,ML02,ML08,BU08,,BL01,PU02,,,CL03,PU07,ML07,,CL01,ML04,,,PU01,BL02,BU03,
5,AU06,MU06,,,ML08,CL08,BL03,,CU05,MU01,,,ML04,BU05,AU05,,BL01,CU06,,,CL01,CU05,BL03,,ML01,PL06,,,CL01,BL02,PL03,,BL08,PU06,,,PL06,PL02,MU05,
6,BU05,PU05,,,CL06,BL02,PL01,,CL01,PL01,,,BL02,CL08,CL02,,PU08,CU04,,,CL04,BL07,PU05,,AU02,BL06,,,PL07,BL06,CU02,,ML04,BL06,,,MU04,PU07,PL04,
7,MU01,PL04,,,CL08,MU07,AU02,,PL03,CU08,,,CL03,CU02,MU08,,PU02,AU07,,,BL05,MU01,MU03,,CL02,AU05,,,AL04,PL02,MU03,,BU05,BU05,,,AU05,AU04,BL04,
8,MU07,CL03,,,PL05,ML02,BU04,,CL04,PU07,,,CU02,AU07,BU05,,ML04,AL01,,,MU08,BL01,AU02,,ML06,AU04,,,CU06,CL02,BL01,,BL03,ML08,,,BL01,CL04,MU06,
9,PL02,CU01,,,PL03,PL03,ML07,,PU06,CL07,,,MU04,CL01,MU01,,AU06,CL01,,,PL06,BL06,AL05,,ML07,BU06,,,PU05,BL04,MU01,,BL05,PL04,,,PU08,AL05,CL05,
10,ML05,PL03,,,PU07,AU03,ML06,,ML08,PL05,,,AU03,BL08,PU02,,PL06,ML02,,,AU07,PL07,MU04,,PL06,CL07,,,CL06,CU02,AU07,,ML08,PU01,,,PL03,CL01,PU01,
11,BU08,BL04,,,BU01,PL06,PL05,,AL01,BL06,,,MU05,PL05,CL01,,PL03,ML03,,,CU08,PL03,CU03,,BL03,CL02,,,BL07,BU04,AU01,,CU05,CU06,,,CL04,BU01,CL03,
12,MU04,PL07,,,BL05,BU05,BU01,,BU04,PU01,,,AU08,MU04,BU04,,PU05,PU01,,,CL04,AU06,ML04,,MU01,MU07,,,ML04,MU06,PU06,,ML03,MU08,,,MU01,AU07,PU05,
13,CU08,AU05,,,ML04,PL05,BL01,,MU06,CU02,,,ML08,MU03,BL08,,PL04,BU02,,,BL08,CU08,ML06,,PL03,ML02,,,PL05,PU05,BL05,,CL04,BU01,,,CU07,ML07,ML05,
14,ML07,CL02,,,AL07,PU03,AU06,,AL03,PL08,,,BU02,CL02,CU06,,BL04,CL02,,,AL08,CU03,PL08,,CL01,BL04,,,AU05,BL03,PL02,,PL01,PL07,,,CU05,PL08,AU08,
15,PU07,PU08,,,BU02,MU08,MU06,,BL02,MU07,,,CL05,PL04,MU05,,AU07,MU07,,,AL02,BU03,AU05,,MU05,AL08,,,AL07,PL01,BU06,,AU01,BL05,,,PL08,AL06,BL01,
