,Mon:1,Mon:2,Mon:R1,Mon:R2,Mon:3,Mon:4,Mon:5,Mon:6,Tue:1,Tue:2,Tue:R1,Tue:R2,Tue:3,Tue:4,Tue:5,Tue:6,Wed:1,Wed:2,Wed:R1,Wed:R2,Wed:3,Wed:4,Wed:5,Wed:6,Thu:1,Thu:2,Thu:R1,Thu:R2,Thu:3,Thu:4,Thu:5,Thu:6,Fri:1,Fri:2,Fri:R1,Fri:R2,Fri:3,Fri:4,Fri:5,Fri:6
1,AL07,AL08,AL02,AU08,AL02,AU01,AU06,AL02,AL08,AL02,AL02,AU08,AL02,AL02,AL02,AL02,AL02,AL15,AL02,AU08,AU08,AL08,AL07,AL02,AL07,AL07,AL02,AU08,AL02,AU08,AL02,AL02,AL02,AL07,AL02,AU08,AL02,AL02,AL02,AL02
2,AL08,AL15,AL07,BDRM,AL07,AU06,AU08,AL07,AL15,AL07,AL07,BDRM,AL07,AL07,AL07,AL07,AU02,AU01,AL07,BDRM,BDRM,AL15,AU01,AL07,AL08,AL15,AL07,BDRM,AL07,CU02,AL08,AL07,AL07,AL08,AL07,BDRM,AL07,AL07,AL07,AL07
3,AL15,AU06,AL08,BL03,AU06,AU08,BL04,AL08,AU08,AL15,AL08,BL03,AL08,AU06,AL08,AL08,AU06,AU08,AL08,BL03,BU01,AU06,AU06,AL08,AU01,AU06,AL08,BL03,AL08,DL01,AU01,AL08,AL08,AU02,AL08,BL03,AU06,AU02,AU01,AL08
4,AU02,AU08,AL15,BL04,AU08,BL04,BL07,AL15,BL04,AU06,AL15,BL04,AU01,AU08,AU01,AL15,AU08,BL05,AL15,BL04,BU05,AU08,AU08,AL15,AU06,AU08,AL15,BL04,AL15,DU06,AU08,AL15,AL15,AU06,AL15,BL04,AU08,AU08,AU06,AL15
5,AU06,BDRM,AU01,BL05,CL06,CU04,CU02,AU01,BL06,AU08,AU01,BL05,AU08,BL03,AU02,AU01,BL04,BL07,AU01,BL05,CL09,AU11,BL04,AU01,AU08,BU04,AU01,BL05,AU01,DU07,BL07,AU01,AU08,AU11,AU01,BL05,AU10,BL04,AU08,AU01
6,AU08,BL06,AU02,BL06,CU07,DL01,DL01,AU02,BL07,BDRM,AU02,BL06,BDRM,BL05,AU08,AU02,BL07,BU01,AU02,BL06,CU05,BL04,BL06,AU02,BDRM,CL06,AU02,BL06,AU06,DU08,CL04,AU02,AU10,BDRM,AU02,BL06,AU11,CL03,BDRM,AU02
7,BDRM,CL04,AU06,BL07,DL01,DU05,DU05,AU06,CL04,BL04,AU06,BL07,CL06,BL07,BDRM,AU06,BU02,BU02,AU06,BL07,DL01,DL01,BL07,AU06,BL04,CL07,AU06,BL07,AU08,LIBR,CL06,AU06,AU11,CL06,AU06,BL07,BDRM,CL04,BL04,AU06
8,BL06,CL06,AU08,BU01,DU05,LIBR,DU07,AU08,CL07,BL05,AU08,BU01,DL01,CL03,BL05,AU08,DU05,BU03,AU08,BU01,DU05,DU05,CL04,AU08,BL05,DL01,AU08,BU01,AU10,ML04,DL01,AU08,BL04,CU02,AU08,BU01,BL04,CL06,CL04,AU08
9,BL07,DL01,AU10,BU02,LIBR,ML02,LIBR,AU10,CU02,BU04,AU10,BU02,LIBR,CL04,BU01,AU10,LIBR,BU04,AU10,BU02,DU07,DU07,DU05,AU10,BL07,DU06,AU10,BU02,AU11,ML08,DU06,AU10,BL05,CU07,AU10,BU02,BL06,CU03,CL05,AU10
10,CL04,DU07,AU11,BU03,ML05,PE01,ML02,AU11,LIBR,BU05,AU11,BU03,ML02,CL06,CL05,AU11,ML03,CL06,AU11,BU03,LIBR,LIBR,LIBR,AU11,BU01,DU07,AU11,BU03,BL06,MU06,DU07,AU11,CL04,DL01,AU11,BU03,BL07,CU05,CL07,AU11
11,CL06,DU08,BDRM,BU04,MU03,PE02,ML03,BDRM,ML02,CL06,BDRM,BU04,PE02,DU08,CL07,BDRM,ML04,CL09,BDRM,BU04,PE02,ML04,ML02,BDRM,BU02,LIBR,BDRM,BU04,BL07,MU08,LIBR,BDRM,CU06,DU06,BDRM,BU04,CL04,DL01,DL01,BDRM
12,CL07,ML02,BL06,BU05,MU07,PE03,ML05,BL03,ML05,DU07,BL06,BU05,PE03,LIBR,CU03,BL03,ML08,CU02,BL06,BU05,PE03,PE03,ML03,BL03,DL01,ML04,BL06,BU05,CL04,PE01,ML02,BL03,DL01,LIBR,BL06,BU05,CL06,LIBR,LIBR,BL03
13,CU02,ML07,BL07,BU06,PE02,PE04,ML06,BL04,ML08,LIBR,BL07,BU06,PE04,ML02,CU04,BL04,PL05,LIBR,BL07,BU06,PE04,PE04,ML05,BL04,DU06,MU03,BL07,BU06,CL07,PE02,ML03,BL04,DU06,ML04,BL07,BU06,CU04,ML07,ML02,BL04
14,DL01,PE02,CL03,CL04,PE03,THEA,MU04,BL05,MU06,PL04,CL03,CL04,PL05,PE03,CU05,BL05,PU06,ML02,CL03,CL04,PL05,PL05,MU08,BL05,LIBR,MU04,CL03,CL04,CU05,PE03,ML04,BL05,LIBR,PE02,CL03,CL04,CU05,PE01,MU06,BL05
15,DU06,PL04,CL04,CL06,PL05,,MU06,BL06,MU07,PL05,CL04,CL06,THEA,PE04,DU08,BL06,THEA,ML04,CL04,CL06,THEA,PL08,THEA,BL06,ML03,MU06,CL04,CL06,CU07,PE04,PE02,BL06,ML02,PE03,CL04,CL06,DL01,PE02,PL05,BL06
16,LIBR,PL07,CL05,CL07,THEA,,MU08,BL07,PL05,PU03,CL05,CL07,,PL05,LIBR,BL07,,ML07,CL05,CL07,,THEA,,BL07,ML04,MU07,CL05,CL07,DL01,THEA,THEA,BL07,ML03,PE04,CL05,CL07,LIBR,PE03,THEA,BL07
17,PL03,PU02,CL07,CU04,,,PE02,BU01,THEA,PU06,CL07,CU04,,PU05,PL05,BU01,,MU06,CL07,CU04,,,,BU01,PL05,THEA,CL07,CU04,LIBR,,,BU01,THEA,THEA,CL07,CU04,ML05,PE04,,BU01
